Name,PredLasso,PredRF,PredKNN,PredSVM,OldRating,AvgPred
Forgotten Axis: The Romanian Campaign,6.8684836527728805,6.868252841901891,6.278143999999999,7.026663843624212,5.49636,6.760386084574746
Autumn of Glory,6.794158231639672,6.743613398666669,6.135511999999999,6.720259332471596,5.52672,6.598385740694484
Waterloo: The Last Great Battle,6.70002155752735,6.7069579927777845,6.037316,6.770500994637733,5.51472,6.553699136235717
Götterdämmerung,6.885421824213392,6.795733410759034,6.689042000000001,6.980560415366712,5.52684,6.837689412584785
Paul Koenig's The Bulge: 6th Panzer Army,6.647198605709104,6.864760284171718,6.667976,6.774369447837278,5.54327,6.738576084429525
Super Race,6.170969904705771,6.37062836380952,6.48409,6.064900284902713,5.5127,6.2726471383545
Drag Strip!,6.082096609546527,5.315618979999994,5.928182000000001,6.0796967349565145,5.46052,5.851398581125759
City States of Arklyrell,6.716857050954269,6.64279899277778,6.375846,6.682994840720433,5.49782,6.60462422111312
Empires at War,6.808595803043907,6.528006756000002,6.260568000000001,6.960789476604897,5.50167,6.639490008912202
NFL Game Day,6.865227395910689,6.639872799523805,6.725821999999999,7.1273909673422615,5.49495,6.839578290694189
Affinity,5.717147099766086,6.378534520000007,6.2306680000000005,5.982713787490796,5.53632,6.077265851814222
KAWA: A Game About Flow,6.960106731572578,7.1774677399999955,6.611858000000001,7.1345607556577635,5.50739,6.9709983068075845
Tumbleweed,6.669454437745477,7.127545158761899,6.319654,6.614226478784949,5.56453,6.6827200188230815
Nowheresville: Bandit Paradise,6.411044475905214,6.527627815555557,6.622896,6.594626675407581,5.51527,6.539048741717089
Get Reelz,5.8534719206069,6.205364540000006,6.170738,6.226333647518357,5.50113,6.113977027031315
Hexx & Hopp,6.3568616026896585,6.739110653846157,6.338914,5.997341460992362,5.52797,6.358056929382045
Crisis: Korea 1995,7.357209228549953,7.301490940000001,6.036803999999999,6.993390705658586,5.55413,6.922223718552134
Backpacks & Blisters (Second Edition),6.609797077200652,6.848962274957274,6.50471,6.580798530331417,5.55211,6.636066970622336
Squeeky,5.78827176636341,6.203726265190479,6.512334,5.95837869910265,5.49668,6.115677682664135
Dumstrut,6.168822332921751,6.370762440000008,6.136836000000001,6.418275176923533,5.5038,6.273673987461323
To Take Washington: Jubal Early's Summer 1864 Campaign,7.6928741892658605,7.776695259999986,6.97857,7.1472368592128594,5.57647,7.398844077119677
Groovy Pips,6.4438186392300665,6.6194706000000085,6.469596,6.228164583675376,5.50154,6.440262455726363
Bahama Taxi,6.142450425983517,6.3442996767033,6.275035999999999,6.402289003143344,5.48136,6.29101877645754
"I Say, Holmes! (Second Edition)",6.442925650223688,6.776484923846154,6.417193999999999,6.580001011615975,5.49822,6.554151396421455
KAPOW!,6.62247133133219,7.221954283004327,6.487208000000001,6.40682490031173,5.60298,6.684614628662062
Taco Cat Goat Cheese Pizza: Demo deck,5.736920720535661,6.395649740000008,5.754976000000001,5.673158891225304,5.53013,5.890176337940243
Bonaparte in the Quadrilateral,6.93776372584655,7.677219199999992,5.938682000000002,6.931906469430464,5.55696,6.8713928488192515
Chai Garam,6.851383570031782,7.144485186963554,6.162356,6.678955917387101,5.56954,6.709295168595609
Automata NOIR,6.315000520364633,6.653366900000001,6.089906000000001,6.378839414824318,5.55384,6.359278208797239
VerTIPPT nochmal!,6.108896434276148,6.075520593523799,6.305598,6.476245814633292,5.5114,6.24156521060831
Tell Me More,5.947353720892377,6.483686360000002,6.511680000000001,6.544589448359624,5.51636,6.3718273823130005
Speed,6.039372116301069,5.677019579999998,6.3341140000000005,6.05223124485932,5.49847,6.025684235290097
Hollywood Game Night Party Game,6.140620971267652,6.53153164,6.398739999999999,6.23192389748563,5.51596,6.32570412718832
Drawing Dead,6.736581230380797,6.9367547244444525,6.2667340000000005,7.030862054813749,5.51541,6.74273300240975
Deterrence 2X62,6.685666016152781,6.755306516337004,6.054672,6.502142448475355,5.53816,6.4994467452412845
Ninja Galaxy,5.878975251526889,6.268626703131877,6.180792,6.01157336952753,5.42263,6.084991831046573
En tu casa o donde sea,6.148863761383044,6.4861860600000005,6.1122320000000006,6.53241251164892,5.50496,6.319923583257992
Hunters of the Lost Creatures,6.1396378059426775,6.5506670000000025,6.276465999999999,6.091500139283936,5.5619,6.264567736306654
"The Cossacks Are Coming!: The Tannenberg Campaign August and September, 1914 – 2nd Edition",7.492225333974434,7.352876420000006,6.133422,7.129220529601,5.52217,7.02693607089386
Legend Academy,6.0662813751488205,5.653969336000006,6.499840000000001,6.969863714489624,5.46705,6.297488606409613
Point Blank: V is for Victory,7.194946179533588,7.641586539999998,6.941414,6.961849300508279,5.5661,7.184949005010466
1806: Rossbach Avenged,6.995611901306683,7.068453535634918,6.303389999999999,6.755757176855122,5.55432,6.780803153449181
Nagashino 1575 & Shizugatake 1583,7.2316318538397715,7.433243111578942,6.110938,7.044021212039365,5.53109,6.954958544364519
Raben schubsen,6.166695557083353,6.550836039999985,6.158759999999999,6.152441613477665,5.50599,6.25718330264025
Something Wild! Marvel Infinity Saga: Iron Man,6.066024799529805,6.473549240000006,6.3949560000000005,6.347701634475799,5.5101,6.320557918501402
Das Gold der Maya,6.365654280916357,6.210881708999995,5.610335999999999,6.254543503523509,5.48755,6.110353873359966
Secret Night at Davis Manor,6.87538217604633,6.8983616399999965,6.362178,6.607751000919821,5.59014,6.685918204241537
Abra Kazam!,6.265581886219694,6.353223980000007,6.156346,6.233014015094959,5.5074,6.252041470328665
OTLO Stones,6.34238177800824,6.824090899999994,6.265759999999999,6.211288088889912,5.51903,6.410880191724536
Blank Marry Kill,6.105669066872172,6.445762280000002,5.952845999999999,6.135700361864913,5.50688,6.159994427184271
MooT,6.4465819662155734,6.461652856666667,6.27784,6.433131284315834,5.51276,6.404801526799519
Naova,6.281473102012728,6.406663133846159,6.052044,6.242479444606431,5.49566,6.2456649201163295
Raiders of the Lost Tomb,6.114977318830708,6.5003108299999965,6.1256900000000005,6.545604385352022,5.46653,6.321645633545682
Veletas,6.496157299534101,6.587354220000001,6.271656,6.740541449135817,5.53971,6.523927242167479
Ganesha,6.508757812355621,6.922066639999986,5.991988,6.41850394653427,5.50537,6.460329099722469
Jerusalem! Tactical Game of the 1948 War,6.774981827116029,6.633260392666671,6.248118,6.827072889862082,5.55835,6.620858277411195
Mabula,6.168437334200294,6.552468200000003,6.436938,6.127685777837751,5.52253,6.321382328009512
Super Slopes,6.645346965698571,6.9112682400000045,6.457502,6.888232222003941,5.53112,6.7255873569256295
Tartapies,6.561469140544733,6.93068394,6.4293700000000005,6.4343631175012455,5.51808,6.588971549511494
Beat the Experts,6.3136742837150255,6.16250143433333,6.101884000000001,6.2976483951830655,5.48158,6.218927028307856
Swoggle,6.445555785915477,6.065800024999995,6.551454,6.323131286877245,5.50202,6.346485274448179
Happy Party,5.921248987506699,6.3656475295238115,6.404996,6.05510273839841,5.5032,6.18674881385723
Disposable Heroes and Coffin For Seven Brothers: Infantry and Vehicle Small Unit Skirmish Wargaming in WWII,6.83556730859342,7.013151626578951,6.515206000000001,6.7934024142143965,5.55272,6.789331837346692
Booze Barons,6.290800124159096,6.501560700000003,6.692883999999999,6.252406090835619,5.50458,6.434412728748679
In A Bind Jr,5.935043832771215,6.352176600000011,6.362942,6.505995271362112,5.52752,6.289039426033334
Got 'Em!,6.02908418152318,6.554240920000004,6.021641999999999,6.05684422280231,5.5233,6.165452831081373
Deadly Premonition: The Board Game,6.564306570989066,7.09208797490842,6.505275999999999,6.353825432929776,5.50891,6.628873994706815
APBA American Saddle Racing,6.217388887295708,5.357630440000004,6.258296,6.561351597737696,5.52611,6.098666731258351
"Knock, Knock! Dungeon!",6.476320166899798,6.574541739999999,6.154202,6.638047638750552,5.52846,6.460777886412587
Black Stories: Epic Fails Edition,6.157144887181292,6.893519728,5.772647999999999,6.191058647471713,5.51565,6.253592815663251
Hold the Line:  Frederick's War,6.873823354087677,6.592038728730166,6.4592480000000005,7.039725270100784,5.59091,6.7412088382296576
Electronic Scattergories Platinum Edition,6.20076119014575,6.038250140999995,5.947278,6.335272673363812,5.5029,6.130390501127389
Ballons,6.031666026760686,6.13057576111111,6.133034,6.160119908332415,5.49101,6.1138489240510525
Winds of Numa Sera,6.509297174651234,7.068189300000001,6.652302000000001,6.5133628069219665,5.52034,6.685787820393301
Worlds of Heroes & Tyrants,6.62556353507659,6.723315535999997,6.503568,6.363676863493684,5.46318,6.554030983642567
Zombie World,7.088344032335394,7.132329910882352,6.356928,6.80031229242165,5.53336,6.84447855890985
